S.N.,Stock Name,Stock Symbol,Sector,Total Shares
275,Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL,Microfinance,"1,320,000.00"
276,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,SKBBL,Microfinance,"15,644,138.00"
277,Sanima Bank Limited,SANIMA,Commercial Banks,"113,273,774.00"
278,Sanima Equity Fund,SAEF,Mutual Fund,"130,000,000.00"
279,Sanima General Insurance Limited,SGI,Non Life Insurance,"10,000,000.00"
280,Sanima Large Cap Fund,SLCF,Mutual Fund,"120,000,000.00"
281,Sanima Life Insurance Limited,SLI,Life Insurance,"20,840,000.00"
282,Sanima Mai Hydropower Ltd.,SHPC,Hydro Power,"30,892,510.00"
283,SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL,Hydro Power,"32,850,000.00"
284,Saptakoshi Development Bank Ltd,SAPDBL,Development Banks,"8,343,385.00"
285,Shangri-la Development Bank Debenture 2087,SDBD87,Corporate Debenture,0.00
286,Shangrila Development Bank Ltd.,SADBL,Development Banks,"30,106,698.00"
287,Shikhar Insurance Co. Ltd.,SICL,Non Life Insurance,"22,860,812.00"
288,Shine Resunga Development Bank Ltd.,SHINE,Development Banks,"37,810,091.00"
289,Shiva Shree Hydropower Ltd,SSHL,Hydro Power,"14,764,000.00"
290,SHIVAM CEMENTS LTD,SHIVM,Manufacturing And Processing,"44,000,000.00"
291,Shree Bhrikuti Pulp And Paper Limited,SBPP,Manufacturing And Processing,"3,500,000.00"
